x,y
-3,-6.851932468745572
-2.7,-7.8238456477199705
-2.4,-7.47509717578574
-2.1,-9.705912169039507
-1.8,-6.296723343235813
-1.5,-6.9810710263872195
-1.2000000000000002,-5.421241513808827
-0.8999999999999999,-2.1931614689806267
-0.6000000000000001,2.84769544831288
-0.30000000000000027,0.9345522657769207
0,-2.21000969437355
0.2999999999999998,2.3977589635242893
0.5999999999999996,-0.5266664162444727
0.8999999999999999,0.07373966894785933
1.2000000000000002,2.9139773623683616
1.5,2.9605846895851036
1.7999999999999998,8.684556110933006
2.0999999999999996,2.8805408284388423
2.3999999999999995,5.917821173012219
2.7,10.552248259605427
3,11.697840116160542
