obs_id,key,value
1,x1,0.034631719833299116
2,x1,0.5234939539582109
3,x1,1.2247660462639003
4,x1,1.5174224186641576
5,x1,2.4325890447260594
6,x1,2.3354129239240504
7,x1,1.9476798190570352
8,x1,2.0041786461851867
9,x1,2.029907210735553
10,x1,0.8183760915422861
11,x1,0.32142995919877837
12,x1,0.34946582664121206
13,x1,0.24967420423857517
14,x1,-0.418178281
15,x1,-1.001022951
16,x1,-0.626839488
17,x1,-0.543253441
18,x1,-0.743640492
19,x1,-0.332773767
20,x1,-0.575413103
21,x1,0.072497091
22,x1,-0.086598086
23,x1,-0.338571864
24,x1,-0.668516574
25,x1,0.5722005958819947
26,x1,0.45886557304874653
27,x1,0.2202622436878497
28,x1,-0.282782325
29,x1,-0.783276267
30,x1,-0.26640922
31,x1,-0.756848148
32,x1,-0.898086334
33,x1,-1.378025164
34,x1,-1.166355306
35,x1,-0.798221837
36,x1,-0.248925544
37,x1,-0.687374626
38,x1,-1.733541577
39,x1,-0.738103306
40,x1,-0.766356681
41,x1,-1.648997027
42,x1,-1.45464493
43,x1,-1.543312011
44,x1,-1.649059345
45,x1,-2.449412868
46,x1,-2.356984773
47,x1,-2.427851907
48,x1,-2.252643279
49,x1,-1.521124144
50,x1,-1.958552638
51,x1,-1.934133615
52,x1,-1.208102914
53,x1,-0.802301643
54,x1,-0.966809399
55,x1,-1.376780139
56,x1,-1.336954136
57,x1,-1.859125396
58,x1,-1.448415553
59,x1,-1.237574211
60,x1,-2.58517089
61,x1,-2.832892585
62,x1,-2.393743126
63,x1,-2.434930118
64,x1,-1.757773613
65,x1,-1.331577465
66,x1,-2.24486647
67,x1,-2.915967225
68,x1,-2.581404061
69,x1,-3.475086376
70,x1,-3.442632998
71,x1,-3.340265151
72,x1,-2.544324772
73,x1,-2.589459919
74,x1,-2.652699266
75,x1,-3.055390155
76,x1,-2.93542854
77,x1,-2.036218523
78,x1,-1.020579625
79,x1,-1.295387285
80,x1,-0.252264336
81,x1,-0.845473231
82,x1,-0.484108132
83,x1,-0.86129659
84,x1,-1.044238325
85,x1,-0.845932109
86,x1,0.12243853928732923
87,x1,0.1633900010381737
88,x1,0.3082276340741844
89,x1,-0.214313086
90,x1,-1.037330499
91,x1,-1.415938404
92,x1,-1.834004155
93,x1,-1.751553651
94,x1,-0.948450987
